,Asia,Europe,Africa,Oceania,Latin America,North America
1950,1379048376,548853170,227549261,12707362,151567847,162091360
1951,1405643972,553668619,232483990,13041863,155093200,164751892
1952,1435002767,558695691,237586063,13358086,158693126,167496262
1953,1466384316,564120793,242837450,13658233,162376218,170422616
1954,1498736594,569710675,248244771,13957921,166162928,173600142
1955,1532902815,575322579,253847728,14281435,170072480,176942659
1956,1567477794,580970626,259631386,14623796,174106187,180304178
1957,1603627326,586683852,265515234,14967976,178270027,183674575
1958,1640462473,592618223,271429556,15312310,182526117,187337748
1959,1672747890,598609983,277648190,15660295,186939580,190928741
1960,1699525173,604530534,284287859,16016941,191587794,194179202
1961,1725898867,610586587,291177556,16374837,196450780,197444425
1962,1761233737,616522305,298334054,16722051,201486757,200625924
1963,1807331357,622160411,305755228,17069037,206655192,203709019
1964,1855494607,627743584,313465706,17422273,211958059,206694294
1965,1902211905,633040960,321446988,17787531,217393258,209485199
1966,1948659176,638012823,329658039,18158179,222918805,211981897
1967,1994854062,642837395,338159590,18506238,228494489,214288707
1968,2043393565,647306838,346980007,18846971,234144271,216576040
1969,2094302365,651409706,356070247,19213269,239885887,218996379
1970,2145547094,655162184,365450108,19678147,245722509,221868324
1971,2196067963,659086213,375085857,20226164,251678270,224903679
1972,2246224546,663375542,384930392,20689943,257776264,227568788
1973,2297244354,667449130,395212024,21067219,264046278,229925994
1974,2347595112,671416605,406068835,21432068,270517262,232200537
1975,2396020823,675237561,417556631,21759687,277180595,234521718
1976,2443330313,678790601,429572939,22045685,283969209,236823708
1977,2490528605,682240971,441701411,22317799,290989382,239264644
1978,2537447499,685505681,454462680,22586828,298255100,241956208
1979,2585588187,688608250,467975883,22857889,305616605,244794455
1980,2636013555,691719848,481542776,23160826,312992679,247764288
1981,2688480005,694672861,495655338,23516776,320218424,250583546
1982,2743289587,697424779,510540221,23902770,327393714,253217901
1983,2798588765,700177891,525335031,24276615,334441779,255867051
1984,2853889584,702919601,540182785,24632208,341570342,258486126
1985,2910587909,705595404,555652630,24988890,348962130,261109178
1986,2969038008,708423121,571646426,25363411,356336367,263749107
1987,3029379365,711463947,588079702,25763630,363767222,266411477
1988,3089990826,714407677,604511233,26182725,371351281,269225460
1989,3150480221,717037641,621167638,26610093,379081252,272322192
1990,3211352077,719391696,638157238,27076150,387067758,275865497
1991,3269852939,721459361,655040491,27552348,395183159,279701197
1992,3325187721,723078450,671931547,27980456,403302558,283648928
1993,3379061304,724225616,689139957,28386532,411512028,287574524
1994,3432015230,724812746,706488290,28807688,419800089,291381953
1995,3484178997,725016446,724331672,29263641,428097754,295077788
1996,3535423903,725136951,742764743,29746762,436336714,298706739
1997,3586095561,725218068,761224445,30226835,444585482,302407407
1998,3636357351,725210906,779908033,30692240,452843416,306109609
1999,3686164147,725066626,799099336,31158689,461139437,309711634
2000,3736037841,724999880,818952056,31636455,469483312,313212778
2001,3786179783,724892071,839463866,32130741,477846219,316604937
2002,3835669462,724945406,860611465,32646825,486258362,319805058
2003,3884310945,725437219,882349262,33173496,494684904,322862323
2004,3932421014,726181466,904781343,33695248,503149075,325993167
2005,3980365940,726974673,927898095,34229131,511649366,329192591
2006,4028347032,727888065,951740270,34810469,520165587,332419171
2007,4076071753,729429691,976461443,35457325,528752733,335740216
2008,4123883051,731298334,1001981286,36156669,537394192,339047969
2009,4172450404,732949616,1028200285,36858558,546141742,342240617
2010,4221171013,734327317,1055233393,37511946,555137391,345281095
2011,4269623981,735632512,1082675797,38139666,564449174,348335113
2012,4318321902,736937565,1110797233,38794369,573907805,351478201
2013,4366453710,738048338,1140180579,39469802,583318391,354573795
2014,4413673350,739075424,1170299019,40142511,592643948,357573341
2015,4459437462,740186138,1201107939,40817870,601874428,360474562
2016,4504153487,741404142,1232111607,41516450,611138518,363458521
2017,4548303450,742552481,1263333738,42233331,620429102,366480783
2018,4590021498,743481912,1295265048,42956699,629514509,369310995
2019,4628967397,744333378,1327701165,43695650,638357893,371978403
2020,4664324072,744383548,1360677233,44352408,646956539,373967352
2021,4694576163,743339078,1393676446,44913199,655162335,375289808
2022,4722634762,741721971,1426736307,45463403,663485821,376881663
2023,4753079726,740433713,1460481772,46004866,672368312,378915400
